STATION CODE,LOCATIONS,STATE,D.O. (mg/l),PH,B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),WQI
2707,"SURYA RIVER AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",MAHARASHTRA,6.8,8.0,3.5,1.0,53.0,87.207035942029
3182,RIVER ZUARI AT MARCAIM JETTY,GOA,5.4,7.2,1.5,0.08,428.0,70.99872666666667
17,"PERIYAR NEAR ALWAYENANELOOR, KERALA",KERALA,6.2,6.46,1.76,0.33,253.0,52.55666634782608
1571,KARINGODE AT KAKKADAVU,KERALA,7.2,7.3,0.9,0.25,330.0,56.24164811594202
2947,"JAWAI AT JAWAI DAM, SIROHI",RAJASTHAN,6.0,8.3,1.4,0.43,5.0,76.59827159420291
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,7.4,6.2,1.3,0.41,11.0,32.59176753623188
1573,IRUMPANAM,KERALA,2.2,6.4,2.3,1.29,1125.0,96.17052260869563
2162,ULHAS RIVER ATJAMBHUL WATER WORKS.,MAHARASHTRA,6.8,7.5,3.8,0.34,88.0,81.90575594202899
1569,"THALIPARAMBA, KERALA",KERALA,7.2,6.935,0.9,0.48,0.48,42.82785278260869
1438,"MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN, GUJARAT",GUJARAT,4.2,7.8,4.0,0.64,23575.0,631.5910968115942
1160,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY,TAMILNADU",TAMIL NADU,6.6,7.27,3.56,0.29,46.0,75.80560918840577
3371,"KYNSHI RIVER AT RANIKOR, WEST KHASI HILLS",MEGHALAYA,8.0,6.9,1.8,3.38,23.0,46.85204579710145
1443,"ACHENKOIL AT CHENNITHULA, KERALA",KERALA,5.4,6.2,0.7,0.5,1250.0,64.65990666666667
1246,"DAMANGANGA AT KACHIGAON D\S (DAMAN),GUJARAT",GUJARAT,4.9,7.4,9.7,0.64,14.0,142.13922811594205
1698,"D/S CHHATBIR, PUNJAB",PUNJAB,5.5,7.4,10.0,6.1,12167.0,415.4177063768117
1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,7.0,7.4,3.8,0.26,152.0,80.66383536231885
3357,"UMNGOT RIVER AT SMIT, EAST KHASI HILLS",MEGHALAYA,8.0,7.0,1.4,3.8,17.0,44.95528579710145
21,"CHALIYAR AT CHUNGAPALLY, KERALA",KERALA,6.8,7.0,0.4,1.53,184.0,46.38650260869566
3354,"UMIAM MAWPHLANG RIVER AT UMTYNGNGAR, EAST KHASI HILLS",MEGHALAYA,7.9,7.2,1.7,2.72,20.0,51.5126327536232
1861,RIVER PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,GUJARAT,4.7,8.3,3.7,0.5,9166.0,310.43019536231884
1160,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY,TAMILNADU",TAMIL NADU,7.3,6.763333333333332,1.5,0.14,0.14,44.35048915942027
3379,"MYNTDU RIVER AT LESHKA, JAYANTIA HILLS",MEGHALAYA,7.3,5.6,1.8,2.1,16.0,27.351947826086956
3185,MANDOVI AT AMONA BRIDGE,GOA,6.4,6.7,1.3,0.1,772.0,63.659283768115934
1870,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",HIMACHAL PRADESH,6.65,7.88,43.0,0.82,9650.0,651.4330563768115
2285,R MAMOM AT MAMOM BRIDGE,KERALA,7.3,7.3,0.9,0.23,1088.0,72.77923449275363
1547,"RIVER TALPONA AT CANACONA, GOA",GOA,6.8,6.9,1.9,0.03,25.0,53.18778260869566
2707,"SURYA RIVER AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",MAHARASHTRA,6.6,8.1,4.6,0.3,16.0,98.73101652173912
3379,"MYNTDU RIVER AT LESHKA, JAYANTIA HILLS",MEGHALAYA,7.5,6.3,1.7,0.82,7.0,37.3139872463768
1704,GHAGGAR AT D/S SARDULGARH,PUNJAB,4.9,7.4,27.8,6.78,19000.0,729.4641147826087
1643,"NAGAVALLI AT RAYAGADA D/S, ORISSA",ORISSA,7.4,8.0,1.7,0.65,3113.0,137.4286275362319
1154,"CHALAKUDY AT PULICKALKANANDAVU, KERALA",KERALA,6.2,6.63,1.27,0.44,128.0,48.20974701449275
1448,"NAGAVALLI AT THOTAPALLI REGULATOR, A.P.",ANDHRA PRADESH,5.6,7.65,1.76,2.0,2636.0,132.7698967536232
